,statNm,statId,chgerId,chgerType,addr,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail
81,이마트 보라점,ME000140,01,03,경기도 용인시 기흥구 한보라1로 92,null,37.247521,127.105052,10:00~24:00,ME,환경부,환경부,1661-9408,9,20211124162310,20211105111548,20211105114021,,,50,단독,41,41460,E0,E001,N,,N,,N,
82,이마트 죽전점,ME000141,01,03,경기도 용인시 수지구 포은대로 552,null,37.32554335,127.11022087,10:00~24:00,ME,환경부,환경부,1661-9408,9,20211007154310,20210804172205,20210804175037,,,50,단독,41,41460,E0,E001,N,,N,,N,
83,홈플러스 파주문산점,ME000143,01,06,경기도 파주시 문산읍 방촌로 1759,null,37.869915,126.785434,10:00~22:00,ME,환경부,환경부,1661-9408,9,20211124162310,20211015110932,20211015113118,,,50,단독,41,41480,E0,E001,N,,N,,N,
84,이마트 이천점,ME000145,01,03,경기도 이천시 이섭대천로 1440-50,null,37.293832,127.459068,10:00~24:00,ME,환경부,환경부,1661-9408,9,20211124162810,20211031181639,20211031185021,,,50,단독,41,41500,E0,E001,N,,N,,N,
85,홈플러스 풍무점,ME000153,01,03,경기도 김포시 풍무로 167,null,37.609884,126.724018,09:00~24:00,ME,환경부,환경부,1661-9408,9,20211124162810,20211023105814,20211023113851,,,50,단독,41,41570,E0,E001,N,,N,,N,
86,홈플러스 병점점,ME000154,01,03,경기도 화성시 경기대로 985,null,37.203717,127.036760,10:00~24:00,ME,환경부,환경부,1661-9408,9,20210803111810,20210527172137,20210527175806,,,50,단독,41,41590,E0,E001,N,,N,,N,
87,송산포도휴게소(평택방향),ME000158,01,06,경기도 화성시 송산면 평택시흥고속도로 25,null,37.2380223,126.7566458,,ME,환경부,환경부,1661-9408,9,20220811124310,20220811092937,20220811100944,,,50,단독,41,41590,C0,C001,N,,N,,N,
88,송산포도휴게소(시흥방향),ME000159,01,06,경기도 화성시 송산면 평택시흥고속도로 25,null,37.2363191,126.7571394,,ME,환경부,환경부,1661-9408,9,20220811124810,20220811114326,20220811121128,,,50,단독,41,41590,C0,C001,N,,N,,N,
89,경안동 공영주차장,ME000160,01,06,경기도 광주시 경안로 13-6,null,37.409390,127.258993,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210913142810,20210913100719,20210913104725,,,50,단독,41,41610,B0,B001,Y,,N,,N,
90,연천군청,ME000164,01,06,경기도 연천군 연천읍 연천로 220,null,38.0962527,127.0750094,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220811124310,20220810132210,20220810140251,,,50,단독,41,41800,A0,A001,N,,N,,N,
91,춘천휴게소(부산방향),ME000172,01,06,강원도 춘천시 동산면 원창리,null,37.8135838,127.7664419,,ME,환경부,환경부,1661-9408,9,20220811125310,20220811091335,20220811095342,,,50,단독,42,42110,C0,C001,N,,N,,N,
92,치악휴게소(부산방향),ME000175,01,06,강원도 원주시 신림면 치악로 416,null,37.2534111,128.0492506,,ME,환경부,환경부,1661-9408,9,20220811124310,20220811092607,20220811100615,,,50,단독,42,42130,C0,C001,N,,N,,N,
93,치악휴게소(춘천방향),ME000176,01,06,강원도 원주시 신림면 다리실2길 32 ,null,37.2570717,128.0476759,,ME,환경부,환경부,1661-9408,9,20220811124310,20220811112320,20220811115414,,,50,단독,42,42130,C0,C001,N,,N,,N,
94,강릉시청,ME000177,01,06,강원도 강릉시 강릉대로 33 ,null,37.751978,128.875723,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210803111810,20180813233357,20180814085215,,,50,단독,42,42150,A0,A001,N,,N,,N,
95,정동진해변 주차장,ME000179,01,06,강원도 강릉시 강동면 정동역길 17,null,37.6901388,129.0343716,,ME,환경부,환경부,1661-9408,9,20220811124810,20220811113150,20220811121227,,,50,단독,42,42150,B0,B004,N,,N,,N,
96,동해문화예술회관,ME000180,01,06,강원도 동해시 평원로 15,null,37.526056,129.11433,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220811124810,20220811110619,20220811111301,20220811114606,,50,단독,42,42170,A0,A004,N,,N,,N,
97,삼척시청,ME000181,01,06,강원도 삼척시 중앙로 296,null,37.448883,129.164245,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220802002310,20220801094815,20220801102852,,,50,단독,42,42230,A0,A001,N,,N,,N,
98,홍천강휴게소(춘천방향),ME000182,01,06,강원도 홍천군 북방면 소매곡리,null,37.7131398,127.8269364,,ME,환경부,환경부,1661-9408,9,20220811124310,20220811094531,20220811100936,,,50,단독,42,42720,C0,C001,N,,N,,N,
99,홍천군청,ME000183,01,06,강원도 홍천군 홍천읍 석화로 93,null,37.696355,127.8892,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220811124810,20220810181055,20220810185134,,,50,단독,42,42720,A0,A001,N,,N,,N,
